Front|Back
-게 하다|<b>Meaning:</b> Make/let/have someone do something (causative)<br><br><b>Grammar:</b><br>• <u>AVst</u>게 하다<br>• <u>AVst</u>게 했다<br><br><b>Usage:</b> Used to express causation - making, letting, or having someone do something. The subject causes or allows another person to perform an action. Can express both permission (let) and compulsion (make) depending on context.
-은/는|<b>Meaning:</b> Topic marker<br><br><b>Grammar:</b><br>• <u>N</u>(은,는)<br><br><b>Usage:</b> Mark the topic of the sentence. About, regarding, as for
-만|<b>Meaning:</b> Limitation, only, but only<br><br><b>Grammar:</b><br>• <u>N</u>만<br><br><b>Usage:</b> A particle that expresses the sense of limitation, emphasis and degree of comparison.
-밖에|<b>Meaning:</b> Exclusion, except for that, other than that<br><br><b>Grammar:</b><br>• <u>N</u>밖에<br><br><b>Usage:</b> Express the only thing or option available, no other possibilities available.<br><br><b>Notes:</b> The following clause is always negative
-뿐|<b>Meaning:</b> Nothing more, there is nothing else, it is the only one<br><br><b>Grammar:</b><br>• <u>N</u>뿐<br><br><b>Usage:</b> Used when there is nothing more than the content of the preceding statement or when it is the only one.
-ㄹ지/을지 -ㄹ지/을지|<b>Meaning:</b> whether to... or to... (deliberation between options)<br><br><b>Grammar:</b><br>• <u>AVst</u>(을,ㄹ)지 <u>AVst</u>(을,ㄹ)지 ____<br><br><b>Usage:</b> Expresses indecision or uncertainty between two or more mutually exclusive options. Often followed by 모르다 (don't know) or 고민하다 (worry/deliberate).
-기는 하다|<b>Meaning:</b> Partial Acknowledgment<br><br><b>Grammar:</b><br>• <u>Vst</u>기는 하다<br>• <u>Vst</u>긴 하다<br><br><b>Usage:</b> In the form 기는/긴 하다, the speaker acknowledges that something is true or is indeed the case. It is often followed by -지만 or -는데/ㄴ데 grammar to form a partial acknowledgment with an objection.
-나/은가/ㄴ가 보다|<b>Meaning:</b> It seems like, it appears that (conjecture based on observation)<br><br><b>Grammar:</b><br>• <u>AVst</u>나 보다<br>• (있,없)나 보다<br>• <u>DVst</u>(은가,ㄴ가) 보다<br>• <u>Vst</u>(었,았,였)나 보다<br>• <u>N</u>인가 보다<br><br><b>Usage:</b> Used to express conjecture or assumption based on indirect evidence or observation. The speaker infers something from what they've seen, heard, or experienced. Less certain than direct observation with -네요, but more certain than pure speculation with -겠-.
-는다고/ㄴ다고/다고생각하다|<b>Meaning:</b> I think that..., I believe that...<br><br><b>Grammar:</b><br>• <u>AVst</u>(는,ㄴ)다고 생각하다<br>• <u>DVst</u>다고 생각하다<br>• <u>Vst</u>(었,았,였)다고 생각하다<br>• <u>Vst</u>(을,ㄹ) 거라고 생각하다<br>• <u>N</u>(이)라고 생각하다<br><br><b>Usage:</b> Used to express one's opinion, thought, or belief about something. Converts a statement into reported speech followed by the verb 생각하다 (to think). Commonly used to soften assertions or express personal viewpoints politely.
-는다면/ㄴ다면/다면|<b>Meaning:</b> If (it is the case that)..., supposing that...<br><br><b>Grammar:</b><br>• <u>AVst</u>(는,ㄴ)다면 ____<br>• <u>DVst</u>다면 ____<br>• <u>Vst</u>(었,았,였)다면 ____<br>• <u>N</u>(이)라면 ____<br><br><b>Usage:</b> A conditional form that combines declarative ending -(는)다 with conditional -면. Used to present hypothetical situations or suppositions, often about factual statements or things you've heard. More formal than simple -(으)면 and often used when the condition is based on reported information or general facts.
-는다면서요/ㄴ다면서요/다면서요|<b>Meaning:</b> I heard that..., they say that... (seeking confirmation)<br><br><b>Grammar:</b><br>• <u>AVst</u>(는,ㄴ)다면서(요)<br>• <u>DVst</u>다면서(요)<br>• <u>Vst</u>(었,았,였)다면서(요)<br>• <u>Vst</u>(을,ㄹ) 거라면서(요)<br>• <u>N</u>(이)라면서(요)<br><br><b>Usage:</b> Used to confirm or verify information that the speaker has heard from someone else. Often carries the nuance of "Isn't it true that...?" or "I heard that... is that right?" Combines reported speech -(는)다고 with -면서 (while/even though) to create a confirmation-seeking question.
-는대요/ㄴ대요/대요|<b>Meaning:</b> They say..., I heard that... (casual reported speech)<br><br><b>Grammar:</b><br>• <u>AVst</u>(는,ㄴ)대요<br>• <u>DVst</u>대요<br>• <u>Vst</u>(었,았,였)대요<br>• <u>Vst</u>(을,ㄹ) 거래요<br>• <u>N</u>(이)래요<br><br><b>Usage:</b> A contracted form of -(는)다고 해요, used to relay information heard from others in casual conversation. More informal than the full form and commonly used in everyday speech to share news, gossip, or secondhand information.
-는/은/ㄴ 편이다|<b>Meaning:</b> tend to, on the {adjective} side, rather, fairly<br><br><b>Grammar:</b><br>• <u>AVst</u>는 편이다<br>• <u>DVst</u>(은,ㄴ) 편이다<br>• <u>AVst</u>(은,ㄴ) 편이다<br><br><b>Usage:</b> Used to express general tendencies or relative positioning on a spectrum. Softens absolute statements - makes them more moderate/diplomatic.<br><br><b>Notes:</b><br>• Cannot be used with extreme absolutes or binary states (e.g., death, existence)<br>• Action verbs need to have a quantity modifier before the verb: 자주, 정도면
-는/은/ㄴ|<b>Meaning:</b> Noun modifiers, present<br><br><b>Grammar:</b><br>• <u>AVst</u>는 ____<br>• <u>DVst</u>(은,ㄴ) ____<br><br><b>Usage:</b> Enables it to function as a modifying clause for the substantive following it.
-는데도/은데도/ㄴ데도|<b>Meaning:</b> Even though, despite the fact that<br><br><b>Grammar:</b><br>• <u>AVst</u>는데도 ____<br>• (있,없)는데도 ____<br>• <u>DVst</u>(은,ㄴ)데도 ____<br>• <u>Vst</u>(었,았,였)데도 ____<br><br><b>Usage:</b> Expresses contrast or unexpectedness - despite the situation in the first clause, something contrary happens in the second clause. Stronger than simple -는데 as it emphasizes that the second clause is surprising or contrary to expectations. Combines -(는)데 with 도 (also/even).
-어/아/여 놓다|<b>Meaning:</b> do and leave (in that state), do in advance (for later use)<br><br><b>Grammar:</b><br>• <u>N</u>(을,를) <u>AVst</u>(어,아,여) 놓다<br><br><b>Usage:</b> Emphasizes preparation, completion, or the resulting state being maintained. Implies the result is useful or intentional for future reference.
-어/아/여 보이다|<b>Meaning:</b> looks like, appears to be<br><br><b>Grammar:</b><br>• <u>DVst</u>(어,아,여) 보이다<br>• <u>DVst</u>(었,았,였)어 보이다<br><br><b>Usage:</b> Expresses visual appearance or impression based on what the speaker sees. The observer is making a judgment based on visual observation.<br><br><b>Notes:</b> Subject is usually third person
-어/아/여 있다|<b>Meaning:</b> Continuing or resultant state<br><br><b>Grammar:</b><br>• <u>N</u>(이,가) <u>AVst</u>(어,아,여) 있다<br><br><b>Usage:</b> Emphasizes the continuing state resulting from an action rather than the action itself.<br><br><b>Notes:</b><br>• Only works with certain action verbs that can result in a maintained state<br>• Compatible verbs: 앉다, 서다, 입다, 쓰다, 신다, 놓다, 걸다, etc.<br>• NOT compatible with momentary or consumption verbs: *먹어 있다, *가 있다
-어서/아서/여서 그런지|<b>Meaning:</b> Perhaps because..., maybe it's because...<br><br><b>Grammar:</b><br>• <u>Vst</u>(어,아,여)서 그런지 ____<br>• <u>N</u>(어,아,여)서 그런지 ____<br><br><b>Usage:</b> Used to suggest a possible reason or cause for something, with some uncertainty. The speaker is speculating that the situation in the first clause might be the reason for the result in the second clause. More tentative than simple -어서, as 그런지 adds the nuance of "I'm not entirely sure, but maybe..."
-어야지요/아야지요/여야지요|<b>Meaning:</b> should, ought to (casual agreement/acknowledgment)<br><br><b>Grammar:</b><br>• <u>Vst</u>(어,아,여)야지요<br>• <u>Vst</u>(었,았,였)어야지요<br>• <u>N</u>(이)어야지요<br><br><b>Usage:</b> More casual and conversational than -(어,아,여)야 하다/되다. Often expresses agreement with an obvious truth or acknowledgment. More gentle than -(어,아,여)야 돼 (must/have to).
-었어요/았어요/였어요|<b>Meaning:</b> Past tense<br><br><b>Grammar:</b><br>• <u>Vst</u>(었,았,였)어(요)<br><br><b>Usage:</b> Indicate that an event happened in the past.
-었더니/았더니/였더니|<b>Meaning:</b> After doing..., when I/someone did... (then discovered)<br><br><b>Grammar:</b><br>• <u>AVst</u>(었,았,였)더니 ____<br><br><b>Usage:</b> Indicates that after completing the action in the first clause, the speaker discovered or experienced the result in the second clause. Often expresses surprise, discovery, or an unexpected outcome. The subject of the first clause is typically the speaker (first person) when used with action verbs.
-었을/았을/였을 것이다|<b>Meaning:</b> Would have, must have (past conjecture/counterfactual)<br><br><b>Grammar:</b><br>• <u>Vst</u>(었,았,였)을 것이다<br><br><b>Usage:</b> Used to make conjectures about past events or to express counterfactual situations (what would have happened). Can indicate: (1) supposition about what probably happened in the past, or (2) hypothetical outcomes in past conditional contexts. Combines past tense with the future modifier and 것이다 to create past speculation or counterfactual meaning.
-으니까/니까|<b>Meaning:</b> Upon doing/when I did (then discovered/realized)<br><br><b>Grammar:</b><br>• <u>AVst</u>(으)니까 ____<br><br><b>Usage:</b> used with an action verb to state that the fact contained in the second sentence was discovered as a result of the action in the first sentence
-으려던/려던 참이었다|<b>Meaning:</b> was just about to (do something)<br><br><b>Grammar:</b><br>• <u>AVst</u>(으)려던 참이었다<br><br><b>Usage:</b> Expresses that you were on the verge of doing something (but haven't yet). Often implies the action was interrupted or hasn't happened yet. Used when explaining timing or why something didn't happen.<br><br><b>Notes:</b> Subject must be capable of intention
-으려면/려면2|<b>Meaning:</b> In order to, if you want to (with time expressions)<br><br><b>Grammar:</b><br>• <u>AVst</u>(으)려면 __시간(남았다, 더 있어야 하다, 멀다)__<br><br><b>Usage:</b> A specific usage of -(으)려면 that appears with time expressions to indicate how much time is needed or remains before something can be accomplished. Often used with expressions like 시간이 남다 (time remains), 더 있어야 하다 (need more time), or 멀다 (far away/long time).
-으면서도/면서도|<b>Meaning:</b> While/even though, despite doing (simultaneous contrast)<br><br><b>Grammar:</b><br>• <u>Vst</u>(으)면서도 ____<br>• <u>Vst</u>(었,았,였)으면서도 ____<br>• <u>N</u>(이)면서도 ____<br><br><b>Usage:</b> Expresses that despite the situation or action in the first clause (which might normally prevent or contradict the second), the second clause still occurs. Combines -(으)면서 (while) with 도 (even/also) to create a concessive meaning stronger than simple -(으)면서. Often used to express contradiction or unexpected simultaneous states.
-은/ㄴ|<b>Meaning:</b> Noun modifiers, past<br><br><b>Grammar:</b><br>• <u>Vst</u>(은,ㄴ) ____<br><br><b>Usage:</b> Enables it to function as a modifying clause for the substantive following it.
-을/ㄹ 뻔하다|<b>Meaning:</b> Almost, nearly (did something undesirable)<br><br><b>Grammar:</b><br>• <u>AVst</u>(을,ㄹ) 뻔하다<br><br><b>Usage:</b> Expresses that something almost happened but didn't - typically used for negative or undesirable outcomes that were narrowly avoided. Conveys relief that the action didn't actually occur. Common in phrases like 죽을 뻔했다 (almost died) or 늦을 뻔했다 (almost was late).
-을/ㄹ 뿐이다|<b>Meaning:</b> Only, just, nothing but<br><br><b>Grammar:</b><br>• <u>Vst</u>(을,ㄹ) 뿐이다<br>• <u>Vst</u>(었,았,였)을 뿐이다<br>• <u>N</u>일 뿐이다<br><br><b>Usage:</b> Emphasizes limitation or exclusivity - "this and nothing more." Can express either resignation ("I can only...") or minimization ("I just..."). More formal/literary than -만.
-을/ㄹ|<b>Meaning:</b> Noun modifiers, future<br><br><b>Grammar:</b><br>• <u>Vst</u>(을,ㄹ) ____<br>• <u>N</u>일 ____<br><br><b>Usage:</b> Enables it to function as a modifying clause for the substantive following it.
-을지도/ㄹ지도 모르다|<b>Meaning:</b> Might, may, could possibly (uncertainty)<br><br><b>Grammar:</b><br>• <u>Vst</u>(을,ㄹ)지도 모르다<br>• <u>Vst</u>(었,았,였)지도 모르다<br>• <u>N</u>일지도 모르다<br><br><b>Usage:</b> Expresses possibility or uncertainty about future events or situations. Literally means "don't know whether," indicating the speaker considers something possible but is uncertain. Softer and less confident than -(을)ㄹ 것이다. The 도 (even/also) adds emphasis to the uncertainty.
-이라든가/라든가|<b>Meaning:</b> Such as, like, or (listing examples)<br><br><b>Grammar:</b><br>• <u>N1</u>(이)라든가 <u>N2</u> (같은,처럼) <u>N3</u><br><br><b>Usage:</b> Used to list examples from a larger category, similar to "such as" or "like" in English. Often appears in patterns with 같은 (like) or 처럼 (as) to introduce representative examples. Can be used with multiple items to create a non-exhaustive list.
-고 나서|<b>Meaning:</b> After doing, once finished<br><br><b>Grammar:</b><br>• <u>AVst</u>고 나서 ____<br><br><b>Usage:</b> Indicates that one action is completed before another action begins. Emphasizes the completion of the first action more strongly than simple -고. The 나서 adds the nuance that the first action must be finished before proceeding.
-고서|<b>Meaning:</b> After doing, having done (formal sequence)<br><br><b>Grammar:</b><br>• <u>AVst</u>고서 ____<br><br><b>Usage:</b> Indicates sequential actions where the first action precedes the second. More formal and literary than -고 나서. Often emphasizes that the first action is a necessary prerequisite or that there's a logical connection between the two actions.
-기 위해서|<b>Meaning:</b> For the purpose of, for the sake of, in order to<br><br><b>Grammar:</b><br>• <u>AVst</u>기 위해서 ____<br>• <u>N</u>(을,를) 위해서 ____<br><br><b>Usage:</b> Used when doing something to achieve a goal or for a specific purpose.
-기|<b>Meaning:</b> Verb to noun<br><br><b>Grammar:</b><br>• <u>Vst</u>기<br>• <u>Vst</u>(었,았,였)기<br><br><b>Usage:</b> Convert the preceding word as a noun.
-기가 쉽다|<b>Meaning:</b> Easy to (do), prone to<br><br><b>Grammar:</b><br>• <u>AVst</u>기가 쉽다<br><br><b>Usage:</b> Expresses that something is easy to do or happens easily. Often used to describe actions that occur readily or frequently, particularly negative actions or undesirable situations. The subject experiences or performs the action easily.<br><br><b>Notes:</b><br>• Typically used to say that it's easy to do a negative action<br>• Can replace 쉽다 with 어렵다, 좋다, 나쁘다, 곤란하다, 등
-기는요|<b>Meaning:</b> Gentle refutation<br><br><b>Grammar:</b><br>• <u>Vst</u>기는(요)<br><br><b>Usage:</b> Expression is used to politely refute or disagree with the other person's statement. Used in response to a compliment to show modesty. Can also be used lightly criticize or scold someone.
-기만 하다|<b>Meaning:</b> only do, just do, do nothing but<br><br><b>Grammar:</b><br>• <u>Vst</u>기만 하다<br>• <u>Vst</u>(었,았,였)기만 하다<br><br><b>Usage:</b> Emphasizes exclusivity - this action/state and nothing else. Often has a negative connotation when criticizing someone's behavior. Stronger emphasis than just -만 (only).
-는 대신에|<b>Meaning:</b> Instead of, in place of, in exchange for<br><br><b>Grammar:</b><br>• <u>AVst</u>는 대신에 ____<br><br><b>Usage:</b> Indicates substitution or exchange - one action or situation replaces another. Used when choosing to do something different instead of the expected or mentioned action. Can express trade-offs, compromises, or alternative choices.
-던데|<b>Meaning:</b> I noticed/saw that..., when I...(providing background context)<br><br><b>Grammar:</b><br>• <u>Vst</u>던데 ____<br>• <u>Vst</u>(었,았,였)던데 ____<br><br><b>Usage:</b> Combines -던 (past observation/experience) with -는데 (background context) to recall and share a past observation or experience as context for what follows. Used to bring up something the speaker witnessed or experienced, often leading to a question, suggestion, or related comment.<br><br><b>Notes:</b> If the action verb is in the first part of the sentence, a first-person subject cannot be used
-잖아요|<b>Meaning:</b> You know that..., as you know (shared knowledge)<br><br><b>Grammar:</b><br>• <u>Vst</u>잖아(요)<br>• <u>Vst</u>(었,았,였)잖아(요)<br>• <u>N</u>(이)잖아(요)<br><br><b>Usage:</b> Used to remind someone of information that both speaker and listener already know, or to assert something as obvious or well-known. Can express explanation, justification, or mild reproach. Contracted form of -지 않아(요). Often translates as "you know..." or "obviously..." in English.